organization_location,part_number,material_name,shipment_from_location,lead_time_days,supplying_quantity,unit_price,required_quantity,quantity_fill_rate,is_full_quantity,total_price,was_selected
Mumbai,PN-9547,Electronic Components,London,43,119,140.14,708,0.17,0,99218.14,1
Chennai,PN-7113,Copper Wire,New York,28,804,19.01,804,1.0,1,15282.48,1
Delhi,PN-1442,Electronic Components,Delhi,21,371,123.33,867,0.43,0,106930.67,1
Mumbai,PN-8591,Plastic Resins,New York,39,94,14.21,501,0.19,0,7120.79,1
Bangalore,PN-1130,Steel Plate,Shanghai,26,636,68.28,636,1.0,1,43427.25,1
Mumbai,PN-8977,Aluminum Sheet,Berlin,27,676,42.13,676,1.0,1,28480.0,1
Chennai,PN-8097,Aluminum Sheet,Shanghai,31,606,48.16,606,1.0,1,29184.79,1
Bangalore,PN-5640,Plastic Resins,Berlin,32,496,10.3,872,0.57,0,8984.21,1
Chennai,PN-8254,Steel Plate,Chennai,18,302,46.27,711,0.42,0,32899.5,1
Mumbai,PN-6533,Copper Wire,Mumbai,5,568,12.25,787,0.72,0,9640.86,1
Pune,PN-8045,Plastic Resins,Mumbai,16,109,9.44,722,0.15,0,6818.49,1
Pune,PN-3163,Copper Wire,Berlin,30,493,21.3,493,1.0,1,10499.93,1
Mumbai,PN-5582,Fasteners,Shanghai,43,215,6.11,606,0.35,0,3703.75,1
Pune,PN-7897,Plastic Resins,Shanghai,32,107,11.29,137,0.78,0,1547.0,1
Bangalore,PN-6328,Copper Wire,Delhi,3,193,15.79,349,0.55,0,5509.66,1
Chennai,PN-3630,Copper Wire,Berlin,31,202,18.44,926,0.22,0,17079.27,1
Delhi,PN-5542,Plastic Resins,London,20,130,12.96,226,0.58,0,2929.22,1
Bangalore,PN-5190,Plastic Resins,Bangalore,13,198,11.71,198,1.0,1,2319.53,1
Pune,PN-5755,Aluminum Sheet,London,18,863,32.2,877,0.98,0,28241.77,1
Pune,PN-8407,Steel Plate,Bangalore,18,117,52.45,117,1.0,1,6137.22,1
Pune,PN-3721,Fasteners,London,45,416,8.19,945,0.44,0,7742.53,1
Chennai,PN-4886,Plastic Resins,Chennai,10,160,11.49,323,0.5,0,3711.87,1
Pune,PN-9892,Copper Wire,London,30,117,15.47,117,1.0,1,1810.39,1
Pune,PN-6367,Copper Wire,Shanghai,18,186,25.08,319,0.58,0,7999.82,1
Chennai,PN-3125,Plastic Resins,Chennai,20,743,13.51,743,1.0,1,10039.29,1
Chennai,PN-9504,Copper Wire,Shanghai,31,170,22.96,486,0.35,0,11156.34,1
Mumbai,PN-8941,Fasteners,Bangalore,28,389,6.58,529,0.74,0,3478.92,1
Bangalore,PN-6411,Copper Wire,Chennai,21,121,16.07,995,0.12,0,15989.68,1
Chennai,PN-8978,Aluminum Sheet,Bangalore,3,52,27.47,842,0.06,0,23129.35,1
Delhi,PN-6572,Copper Wire,Pune,4,337,13.49,337,1.0,1,4545.94,1
Pune,PN-7651,Aluminum Sheet,Berlin,16,518,46.83,727,0.71,0,34042.85,1
Bangalore,PN-4220,Electronic Components,Delhi,22,595,135.15,811,0.73,0,109603.5,1
Delhi,PN-8700,Steel Plate,Mumbai,10,640,58.37,640,1.0,1,37354.47,1
Pune,PN-8611,Steel Plate,Mumbai,17,334,45.47,334,1.0,1,15187.0,1
Pune,PN-9799,Fasteners,Pune,12,165,4.11,403,0.41,0,1656.66,1
Chennai,PN-9787,Fasteners,Chennai,27,333,6.01,412,0.81,0,2474.63,1
Chennai,PN-3804,Copper Wire,Berlin,35,438,19.71,438,1.0,1,8634.27,1
Mumbai,PN-7097,Plastic Resins,Pune,8,315,12.35,315,1.0,1,3890.13,1
Delhi,PN-8893,Aluminum Sheet,Bangalore,27,550,27.73,670,0.82,0,18576.63,1
Mumbai,PN-5684,Electronic Components,Pune,15,640,119.45,640,1.0,1,76450.38,1
Bangalore,PN-8411,Steel Plate,Mumbai,25,312,65.04,348,0.9,0,22633.25,1
Delhi,PN-8827,Electronic Components,Mumbai,23,408,93.74,408,1.0,1,38247.08,1
Chennai,PN-5043,Steel Plate,Mumbai,26,528,66.12,528,1.0,1,34909.8,1
Pune,PN-1284,Steel Plate,Shanghai,38,232,73.55,232,1.0,1,17062.88,1
Chennai,PN-2410,Fasteners,New York,27,805,7.58,805,1.0,1,6105.45,1
Delhi,PN-2001,Copper Wire,Pune,14,279,15.93,788,0.35,0,12552.3,1
Delhi,PN-8085,Copper Wire,London,44,119,18.91,520,0.23,0,9831.58,1
Mumbai,PN-7018,Electronic Components,Delhi,28,264,100.47,264,1.0,1,26524.54,1
Chennai,PN-8050,Copper Wire,New York,42,717,23.9,717,1.0,1,17139.59,1
Bangalore,PN-4249,Electronic Components,London,34,146,107.03,209,0.7,0,22369.81,1
Bangalore,PN-2052,Electronic Components,Delhi,10,463,117.75,463,1.0,1,54520.02,1
Pune,PN-2460,Copper Wire,Pune,13,67,19.5,312,0.21,0,6085.04,1
Delhi,PN-8969,Fasteners,Bangalore,29,278,6.89,278,1.0,1,1914.95,1
Delhi,PN-2887,Copper Wire,New York,25,280,16.48,280,1.0,1,4614.78,1
Pune,PN-1117,Plastic Resins,Mumbai,24,775,8.08,775,1.0,1,6263.19,1
Delhi,PN-7120,Plastic Resins,Delhi,5,85,10.08,157,0.54,0,1582.74,1
Chennai,PN-7139,Aluminum Sheet,Chennai,26,117,28.44,117,1.0,1,3327.07,1
Bangalore,PN-8087,Aluminum Sheet,New York,24,115,38.47,556,0.21,0,21387.2,1
Chennai,PN-8010,Plastic Resins,Chennai,28,831,10.36,921,0.9,0,9545.01,1
Chennai,PN-1034,Electronic Components,London,37,772,138.91,772,1.0,1,107242.07,1
Delhi,PN-4506,Steel Plate,Pune,20,325,66.48,906,0.36,0,60232.18,1
Pune,PN-1156,Fasteners,Berlin,25,61,5.62,157,0.39,0,882.1,1
Pune,PN-6678,Copper Wire,New York,28,284,19.4,284,1.0,1,5510.91,1
Delhi,PN-7369,Copper Wire,Mumbai,4,95,12.62,780,0.12,0,9844.75,1
Bangalore,PN-2159,Steel Plate,London,28,769,55.29,769,1.0,1,42521.38,1
Pune,PN-8507,Copper Wire,Delhi,5,313,20.55,395,0.79,0,8117.47,1
Mumbai,PN-5748,Electronic Components,Shanghai,23,241,147.32,320,0.75,0,47143.95,1
Delhi,PN-1887,Electronic Components,New York,35,573,117.62,573,1.0,1,67397.04,1
Chennai,PN-2746,Copper Wire,Mumbai,26,736,19.08,850,0.87,0,16217.94,1
Bangalore,PN-3149,Copper Wire,Pune,10,666,16.35,666,1.0,1,10886.66,1
Bangalore,PN-5831,Copper Wire,Mumbai,11,190,20.25,190,1.0,1,3848.4,1
Mumbai,PN-8343,Copper Wire,Berlin,21,927,18.93,927,1.0,1,17551.0,1
Bangalore,PN-6616,Electronic Components,London,32,153,133.25,709,0.22,0,94470.81,1
Pune,PN-9855,Electronic Components,Bangalore,13,102,115.67,102,1.0,1,11798.77,1
Chennai,PN-5907,Fasteners,Mumbai,22,72,6.79,306,0.24,0,2077.52,1
Bangalore,PN-7946,Steel Plate,Chennai,19,599,62.87,599,1.0,1,37661.98,1
Chennai,PN-5298,Electronic Components,New York,23,199,156.36,201,0.99,0,31428.72,1
Chennai,PN-1437,Aluminum Sheet,Berlin,20,593,38.59,679,0.87,0,26204.43,1
Mumbai,PN-4265,Aluminum Sheet,Shanghai,25,285,47.21,964,0.3,0,45514.74,1
Pune,PN-5367,Electronic Components,Pune,10,426,126.47,622,0.68,0,78665.46,1
Delhi,PN-4403,Copper Wire,Chennai,30,57,19.88,132,0.43,0,2624.53,1
Pune,PN-5519,Copper Wire,New York,44,748,23.75,773,0.97,0,18361.52,1
Bangalore,PN-1740,Fasteners,Bangalore,4,575,6.71,678,0.85,0,4552.57,1
Mumbai,PN-7323,Steel Plate,New York,22,54,70.25,221,0.24,0,15525.87,1
Bangalore,PN-4135,Fasteners,London,21,786,5.17,786,1.0,1,4061.42,1
Pune,PN-7967,Plastic Resins,Chennai,14,183,11.95,183,1.0,1,2187.62,1
Delhi,PN-1651,Electronic Components,Delhi,11,125,124.7,179,0.7,0,22321.05,1
Chennai,PN-3289,Copper Wire,Chennai,27,912,13.0,912,1.0,1,11860.05,1
Bangalore,PN-2582,Aluminum Sheet,London,44,863,46.91,863,1.0,1,40485.6,1
Chennai,PN-4772,Plastic Resins,Berlin,32,117,13.14,117,1.0,1,1537.8,1
Chennai,PN-5439,Fasteners,Shanghai,26,77,7.07,338,0.23,0,2389.04,1
Mumbai,PN-2515,Steel Plate,London,29,130,50.22,130,1.0,1,6529.15,1
Pune,PN-7515,Aluminum Sheet,Mumbai,28,398,29.74,503,0.79,0,14960.47,1
Chennai,PN-9126,Electronic Components,New York,26,393,114.76,656,0.6,0,75279.8,1
Mumbai,PN-4601,Electronic Components,Chennai,19,173,84.38,898,0.19,0,75769.42,1
Chennai,PN-3577,Copper Wire,London,42,613,19.74,613,1.0,1,12101.63,1
Pune,PN-3408,Copper Wire,Mumbai,26,312,14.64,746,0.42,0,10924.35,1
Mumbai,PN-1434,Electronic Components,Berlin,33,147,135.44,233,0.63,0,31557.79,1
Mumbai,PN-1498,Fasteners,Shanghai,33,503,4.99,503,1.0,1,2511.26,1
Pune,PN-4878,Aluminum Sheet,London,30,141,48.36,344,0.41,0,16635.5,1
Mumbai,PN-5424,Plastic Resins,New York,26,757,15.18,757,1.0,1,11492.9,1
Chennai,PN-6089,Fasteners,Shanghai,23,263,4.94,943,0.28,0,4659.31,1
Bangalore,PN-6312,Electronic Components,London,35,438,114.55,438,1.0,1,50172.51,1
Pune,PN-9027,Fasteners,Mumbai,21,372,6.86,774,0.48,0,5306.07,1
Pune,PN-2608,Aluminum Sheet,Bangalore,25,345,32.41,533,0.65,0,17272.85,1
Pune,PN-2776,Fasteners,New York,45,949,7.66,949,1.0,1,7269.95,1
Pune,PN-1209,Aluminum Sheet,Chennai,27,772,28.22,772,1.0,1,21787.51,1
Pune,PN-9437,Plastic Resins,London,25,643,16.66,643,1.0,1,10712.65,1
Delhi,PN-3709,Copper Wire,Berlin,18,482,21.85,482,1.0,1,10534.01,1
Mumbai,PN-9951,Plastic Resins,Chennai,5,432,12.64,834,0.52,0,10543.54,1
Delhi,PN-2156,Aluminum Sheet,Berlin,28,861,43.9,861,1.0,1,37801.0,1
Pune,PN-9769,Plastic Resins,New York,30,240,13.24,881,0.27,0,11660.77,1
Chennai,PN-6771,Copper Wire,Berlin,25,189,15.19,247,0.77,0,3752.62,1
Mumbai,PN-5570,Copper Wire,Chennai,6,176,18.88,176,1.0,1,3322.25,1
Bangalore,PN-5610,Steel Plate,Mumbai,13,343,62.91,918,0.37,0,57748.41,1
Delhi,PN-5751,Aluminum Sheet,Shanghai,44,301,36.66,568,0.53,0,20821.1,1
Bangalore,PN-2156,Aluminum Sheet,Shanghai,15,876,42.42,916,0.96,0,38856.92,1
Chennai,PN-8310,Fasteners,Mumbai,11,465,4.28,906,0.51,0,3873.64,1
Chennai,PN-2603,Aluminum Sheet,London,22,311,45.18,311,1.0,1,14051.62,1
Bangalore,PN-2999,Electronic Components,Bangalore,25,298,113.43,298,1.0,1,33802.12,1
Pune,PN-2764,Steel Plate,Berlin,28,922,62.81,922,1.0,1,57913.26,1
Mumbai,PN-8737,Electronic Components,London,25,857,110.15,857,1.0,1,94401.54,1
Delhi,PN-4008,Aluminum Sheet,Pune,19,52,32.82,244,0.21,0,8007.32,1
Mumbai,PN-4924,Aluminum Sheet,New York,30,468,38.23,534,0.88,0,20413.14,1
Chennai,PN-4179,Electronic Components,Chennai,25,449,104.64,449,1.0,1,46982.62,1
Bangalore,PN-5838,Aluminum Sheet,Mumbai,28,277,36.65,729,0.38,0,26721.14,1
Pune,PN-5324,Copper Wire,Shanghai,33,342,21.26,783,0.44,0,16650.17,1
Pune,PN-8463,Steel Plate,Berlin,17,948,51.59,948,1.0,1,48902.97,1
Pune,PN-8760,Electronic Components,Bangalore,5,620,98.59,620,1.0,1,61126.77,1
Mumbai,PN-5307,Aluminum Sheet,Bangalore,4,175,29.48,227,0.77,0,6691.48,1
Mumbai,PN-1319,Steel Plate,London,34,116,80.07,116,1.0,1,9287.67,1
Mumbai,PN-8428,Plastic Resins,New York,16,276,15.34,657,0.42,0,10078.93,1
Bangalore,PN-8303,Electronic Components,Shanghai,49,232,146.82,232,1.0,1,34063.01,1
Bangalore,PN-7458,Plastic Resins,Pune,19,380,11.89,766,0.5,0,9105.44,1
Delhi,PN-6580,Fasteners,Bangalore,4,261,6.51,543,0.48,0,3532.97,1
Mumbai,PN-9801,Steel Plate,Delhi,19,457,61.93,481,0.95,0,29787.56,1
Chennai,PN-3786,Steel Plate,Pune,3,379,55.77,379,1.0,1,21138.13,1
Bangalore,PN-2354,Steel Plate,Berlin,33,841,73.95,841,1.0,1,62193.73,1
Mumbai,PN-9695,Fasteners,London,45,171,6.09,435,0.39,0,2647.85,1
Mumbai,PN-3119,Fasteners,Chennai,20,383,5.34,590,0.65,0,3151.36,1
Bangalore,PN-3248,Plastic Resins,Mumbai,14,626,13.4,626,1.0,1,8390.18,1
Delhi,PN-4405,Steel Plate,Bangalore,3,590,64.13,590,1.0,1,37834.42,1
Mumbai,PN-4703,Aluminum Sheet,Pune,12,292,39.21,292,1.0,1,11450.06,1
Delhi,PN-7675,Aluminum Sheet,Bangalore,15,869,27.46,869,1.0,1,23860.4,1
Chennai,PN-4135,Steel Plate,Mumbai,11,961,65.35,961,1.0,1,62801.39,1
Mumbai,PN-9181,Steel Plate,Delhi,21,719,65.71,719,1.0,1,47245.29,1
Bangalore,PN-8025,Electronic Components,Shanghai,16,814,129.28,814,1.0,1,105234.64,1
Bangalore,PN-3500,Plastic Resins,Berlin,40,294,12.99,294,1.0,1,3818.48,1
Pune,PN-2033,Aluminum Sheet,London,37,76,47.41,310,0.25,0,14696.92,1
Delhi,PN-2441,Fasteners,Pune,27,157,6.61,157,1.0,1,1037.44,1
Chennai,PN-4652,Fasteners,New York,33,561,7.04,561,1.0,1,3947.7,1
Chennai,PN-2842,Copper Wire,Mumbai,4,141,19.41,770,0.18,0,14944.02,1
Pune,PN-1173,Plastic Resins,London,32,357,11.97,652,0.55,0,7806.93,1
Chennai,PN-5178,Fasteners,London,29,510,7.77,510,1.0,1,3962.19,1
Bangalore,PN-3894,Electronic Components,Pune,29,489,134.41,685,0.71,0,92069.45,1
Bangalore,PN-9312,Fasteners,Mumbai,25,86,4.05,312,0.28,0,1262.57,1
Pune,PN-6284,Aluminum Sheet,London,21,128,37.52,606,0.21,0,22734.83,1
Pune,PN-6022,Copper Wire,Pune,27,627,20.23,627,1.0,1,12682.48,1
Delhi,PN-2778,Plastic Resins,Bangalore,4,181,13.7,225,0.8,0,3082.25,1
Mumbai,PN-3057,Copper Wire,Shanghai,22,249,18.8,637,0.39,0,11977.66,1
Bangalore,PN-5368,Steel Plate,Shanghai,49,211,78.5,568,0.37,0,44587.63,1
Bangalore,PN-7698,Fasteners,Mumbai,8,485,4.39,485,1.0,1,2129.03,1
Delhi,PN-1983,Steel Plate,Bangalore,17,73,62.84,184,0.4,0,11563.02,1
Pune,PN-1789,Aluminum Sheet,Mumbai,5,80,39.39,665,0.12,0,26197.34,1
Mumbai,PN-2744,Electronic Components,Delhi,10,551,120.64,551,1.0,1,66474.41,1
Mumbai,PN-3573,Aluminum Sheet,New York,28,375,31.04,375,1.0,1,11639.88,1
Chennai,PN-7622,Copper Wire,New York,26,968,19.78,968,1.0,1,19148.15,1
Chennai,PN-3324,Copper Wire,Delhi,17,204,14.64,795,0.26,0,11642.38,1
Mumbai,PN-4057,Electronic Components,Chennai,27,859,123.06,859,1.0,1,105705.72,1
Mumbai,PN-3156,Copper Wire,Berlin,23,254,23.35,968,0.26,0,22606.39,1
Bangalore,PN-5445,Electronic Components,Delhi,21,253,84.2,277,0.91,0,23322.25,1
Pune,PN-4495,Fasteners,New York,44,712,5.9,712,1.0,1,4201.19,1
Pune,PN-4048,Plastic Resins,Pune,25,216,10.88,942,0.23,0,10249.59,1
Bangalore,PN-5655,Aluminum Sheet,Berlin,32,196,33.31,196,1.0,1,6529.39,1
Mumbai,PN-7358,Electronic Components,Delhi,10,207,139.55,784,0.26,0,109408.9,1
Delhi,PN-7051,Electronic Components,Bangalore,6,843,134.81,843,1.0,1,113645.0,1
Chennai,PN-6436,Aluminum Sheet,Mumbai,11,461,28.85,461,1.0,1,13301.15,1
Bangalore,PN-5734,Electronic Components,Shanghai,25,577,162.42,577,1.0,1,93715.22,1
Pune,PN-2933,Aluminum Sheet,Bangalore,18,411,31.13,607,0.68,0,18898.27,1
Mumbai,PN-8824,Electronic Components,Mumbai,9,722,120.75,722,1.0,1,87179.15,1
Chennai,PN-2199,Plastic Resins,Delhi,18,260,13.01,342,0.76,0,4448.29,1
Bangalore,PN-7061,Electronic Components,Mumbai,21,70,118.52,824,0.08,0,97663.12,1
Pune,PN-6520,Copper Wire,Pune,18,576,20.77,576,1.0,1,11961.14,1
Pune,PN-8293,Fasteners,New York,15,509,5.16,834,0.61,0,4302.83,1
Delhi,PN-5296,Electronic Components,London,22,804,107.17,804,1.0,1,86164.51,1
Delhi,PN-1603,Steel Plate,Delhi,5,267,46.16,267,1.0,1,12325.4,1
Pune,PN-7394,Plastic Resins,Shanghai,41,116,11.42,557,0.21,0,6362.27,1
Bangalore,PN-8101,Fasteners,Chennai,17,955,6.22,955,1.0,1,5944.34,1
Mumbai,PN-1109,Plastic Resins,Mumbai,21,462,13.63,462,1.0,1,6295.86,1
Delhi,PN-7141,Copper Wire,New York,33,221,21.15,269,0.82,0,5690.08,1
Mumbai,PN-1422,Fasteners,Mumbai,13,961,5.29,961,1.0,1,5086.86,1
Delhi,PN-8205,Copper Wire,Chennai,10,521,17.58,521,1.0,1,9160.68,1
Mumbai,PN-8148,Plastic Resins,Pune,12,313,13.73,313,1.0,1,4298.74,1
Delhi,PN-1832,Steel Plate,Chennai,16,752,40.15,752,1.0,1,30192.45,1
Pune,PN-1901,Steel Plate,Mumbai,18,166,67.32,666,0.25,0,44837.64,1
Mumbai,PN-2175,Aluminum Sheet,Delhi,30,235,26.81,907,0.26,0,24316.71,1
Mumbai,PN-4702,Fasteners,London,27,269,4.95,375,0.72,0,1855.3,1
Bangalore,PN-1636,Electronic Components,Mumbai,9,167,92.85,275,0.61,0,25533.63,1
Mumbai,PN-2712,Electronic Components,Delhi,29,998,82.09,998,1.0,1,81923.68,1
Pune,PN-2386,Steel Plate,Pune,8,263,53.91,263,1.0,1,14177.4,1
Mumbai,PN-1737,Fasteners,Mumbai,12,789,5.7,925,0.85,0,5271.15,1
Pune,PN-2442,Plastic Resins,Berlin,41,435,14.36,870,0.5,0,12490.66,1
Delhi,PN-1304,Fasteners,Bangalore,23,100,6.88,102,0.98,0,701.47,1
Delhi,PN-1986,Copper Wire,New York,33,137,20.56,137,1.0,1,2817.16,1
Chennai,PN-3899,Steel Plate,New York,34,543,55.47,543,1.0,1,30121.73,1
Chennai,PN-4032,Aluminum Sheet,Delhi,22,161,41.9,300,0.54,0,12569.95,1
Delhi,PN-7498,Plastic Resins,Berlin,39,100,15.97,840,0.12,0,13413.71,1
Mumbai,PN-1814,Steel Plate,Bangalore,8,199,68.16,245,0.81,0,16699.26,1
Mumbai,PN-6034,Plastic Resins,Chennai,30,509,11.11,742,0.69,0,8244.75,1
Mumbai,PN-7436,Electronic Components,Mumbai,9,428,135.46,829,0.52,0,112292.65,1
Bangalore,PN-8284,Steel Plate,Mumbai,20,415,43.11,415,1.0,1,17891.37,1
Bangalore,PN-9316,Steel Plate,Mumbai,26,352,44.59,352,1.0,1,15694.64,1
Pune,PN-1727,Electronic Components,Bangalore,17,523,87.91,895,0.58,0,78675.95,1
Pune,PN-7625,Aluminum Sheet,Mumbai,27,642,33.69,642,1.0,1,21628.94,1
Delhi,PN-4975,Electronic Components,Pune,8,189,118.08,335,0.56,0,39556.1,1
Bangalore,PN-8678,Copper Wire,Pune,13,991,17.82,991,1.0,1,17664.27,1
Chennai,PN-9429,Aluminum Sheet,New York,24,291,32.52,470,0.62,0,15285.78,1
Chennai,PN-2171,Copper Wire,Delhi,19,510,18.69,968,0.53,0,18090.95,1
Chennai,PN-7534,Steel Plate,London,37,466,59.06,466,1.0,1,27524.1,1
Chennai,PN-8265,Steel Plate,Chennai,24,963,65.44,963,1.0,1,63015.29,1
Bangalore,PN-6977,Aluminum Sheet,London,16,220,29.04,799,0.28,0,23200.55,1
Mumbai,PN-8895,Fasteners,Chennai,24,478,4.9,478,1.0,1,2344.43,1
Mumbai,PN-9934,Steel Plate,Delhi,22,843,65.21,930,0.91,0,60640.82,1
Delhi,PN-2143,Steel Plate,Shanghai,39,650,59.13,886,0.73,0,52388.71,1
Mumbai,PN-5858,Copper Wire,Pune,30,535,14.71,850,0.63,0,12506.87,1
Chennai,PN-4152,Plastic Resins,London,32,171,10.89,438,0.39,0,4770.28,1
Chennai,PN-9346,Steel Plate,New York,34,147,64.8,451,0.33,0,29225.22,1
Pune,PN-4554,Fasteners,Chennai,21,740,6.95,740,1.0,1,5141.43,1
Mumbai,PN-7699,Aluminum Sheet,London,28,309,44.62,309,1.0,1,13786.16,1
Mumbai,PN-8284,Steel Plate,Bangalore,24,781,46.02,781,1.0,1,35939.09,1
Bangalore,PN-3815,Steel Plate,Shanghai,33,372,83.53,436,0.85,0,36420.07,1
Chennai,PN-7376,Copper Wire,Shanghai,21,151,21.63,151,1.0,1,3266.23,1
Delhi,PN-3051,Copper Wire,New York,31,388,19.67,541,0.72,0,10640.81,1
Delhi,PN-1321,Steel Plate,Chennai,16,241,66.9,367,0.66,0,24553.39,1
Pune,PN-1546,Electronic Components,Mumbai,30,997,130.78,997,1.0,1,130389.09,1
Delhi,PN-7135,Electronic Components,Shanghai,33,332,163.21,332,1.0,1,54187.09,1
Bangalore,PN-1776,Copper Wire,Berlin,27,274,22.82,952,0.29,0,21727.4,1
Pune,PN-6205,Copper Wire,New York,27,292,22.8,408,0.72,0,9304.23,1
Chennai,PN-8653,Steel Plate,Berlin,44,850,68.72,887,0.96,0,60953.22,1
Delhi,PN-1815,Aluminum Sheet,Chennai,24,104,33.64,142,0.73,0,4777.59,1
Delhi,PN-1038,Aluminum Sheet,Chennai,15,78,36.86,951,0.08,0,35050.69,1
Pune,PN-4804,Fasteners,Delhi,8,195,4.75,547,0.36,0,2600.65,1
Pune,PN-9157,Copper Wire,Berlin,15,225,22.99,225,1.0,1,5173.15,1
Bangalore,PN-1593,Fasteners,London,36,984,5.98,984,1.0,1,5883.22,1
Pune,PN-7627,Aluminum Sheet,London,45,165,39.89,165,1.0,1,6581.24,1
Chennai,PN-2368,Copper Wire,Delhi,12,525,16.3,801,0.66,0,13055.23,1
